Time-from-meal,BGL,Heart_Rate,md_so,md_sd,t_sd,md_do,sd_r
950,90,114,0.012457226,0.006856216,0.145142857,0.005601011,0.550380606
950,90,114,0.011110369,0.006774603,0.1408,0.004335766,0.609754984
950,90,123,0.012670684,0.007011279,0.136571429,0.005659405,0.553346505
950,90,120,0.011005577,0.005969519,0.142285714,0.005036058,0.542408503
950,90,120,-0.004638079,0.001855949,0.146285714,-0.006494028,-0.400154759
950,90,120,-0.004361413,0.00187689,0.144,-0.006238303,-0.430339816
950,90,117,-0.003998225,0.002218789,0.147733333,-0.006217014,-0.554943477
950,90,123,-0.004443983,0.002044656,0.148,-0.006488639,-0.460095217
950,90,117,-0.005286827,0.001704302,0.152571429,-0.00699113,-0.32236767
950,90,114,-0.004722136,0.002218293,0.154666667,-0.006940429,-0.469764662
950,90,126,-0.004829316,0.001878352,0.151428571,-0.006707668,-0.388947757
950,90,108,-0.002922054,0.00409654,0.1728,-0.007018594,-1.401938517
950,90,117,0.000714042,0.005186318,0.151428571,-0.004472276,7.263324154
950,90,120,0.001969457,0.005259456,0.150285714,-0.003289999,2.670511076
950,90,117,0.002622803,0.006233769,0.154666667,-0.003610966,2.37675818
950,90,114,0.000797738,0.005768148,0.157866667,-0.00497041,7.230627644
950,90,126,-0.00140594,0.003462914,0.144571429,-0.004868854,-2.463059624
950,90,126,0.000514565,0.004864159,0.151428571,-0.004349594,9.452960527
950,90,108,0.003784483,0.009253545,0.174933333,-0.005469063,2.445128136
950,90,120,0.015107728,0.006284059,0.127428571,0.008823669,0.415949988
950,90,114,0.014117258,0.00554008,0.12,0.008577178,0.392433142
950,90,114,0.015236243,0.005953945,0.124,0.009282298,0.390775131
950,90,114,0.017207874,0.006537764,0.122666667,0.01067011,0.379928654
950,90,120,0.016683948,0.008626251,0.136571429,0.008057698,0.517038927
950,90,114,0.016586963,0.009635834,0.144571429,0.006951129,0.580928183
950,90,114,0.014857849,0.009400991,0.1424,0.005456858,0.632728921
950,90,120,0.020278606,0.011337156,0.144,0.008941451,0.559069763
600,102.6,120,0.011350891,0.003002965,0.107692308,0.008347927,0.264557626
600,102.6,114,0.013100178,0.007289707,0.137142857,0.00581047,0.556458659
600,102.6,111,0.014038627,0.00918781,0.140571429,0.004850817,0.654466418
600,102.6,105,0.009975654,0.005727452,0.135428571,0.004248202,0.574143007
600,102.6,114,-0.003750045,0.001718629,0.149866667,-0.005468674,-0.45829547
600,102.6,114,-0.003728015,0.001521132,0.146133333,-0.005249147,-0.408027398
600,102.6,123,-0.000570647,0.002490208,0.133142857,-0.003060855,-4.363831168
600,102.6,114,-0.000573528,0.003921968,0.152533333,-0.004495496,-6.838320895
600,102.6,111,-0.00061511,0.003415932,0.1488,-0.004031042,-5.553364575
